recordtime	accelerationX	accelerationY	accelerationZ
1	-0.06387329	-0.02742004	-1.012283
2	-0.06611633	-0.02549744	-1.014832
3	-0.0940094	-0.01487732	-0.9822693
4	-0.03929138	-0.01205444	-1.023972
5	-0.03903198	-0.02276611	-1.015198
6	-0.02810669	-0.02711487	-1.012329
7	-0.02963257	-0.02600098	-1.015549
8	-0.03118896	-0.02496338	-1.010818
9	-0.0296936	-0.02507019	-1.010376
10	-0.03474426	-0.02088928	-1.011963
11	-0.03240967	-0.02444458	-1.005692
12	-0.03179932	-0.02433777	-1.008087
13	-0.02679443	-0.02392578	-1.01152
14	-0.03535461	-0.02268982	-1.009903
15	-0.04534912	-0.01869202	-1.007355
16	0.03419495	-0.1346893	-0.9795837
17	0.01890564	-0.1670532	-0.9715881
18	-0.06259155	-0.1282043	-0.9698944
19	-0.06018066	-0.02545166	-1.013016
20	-0.05311584	-0.0332489	-1.018997
21	-0.04499817	-0.02320862	-1.016937
22	-0.05180359	-0.02700806	-1.010605
23	-0.05262756	-0.02336121	-1.016724
24	-0.03794861	-0.02323914	-1.014374
25	-0.02682495	-0.01937866	-1.038437
26	-0.03489685	-0.02134705	-1.035553
27	-0.04570007	-0.02270508	-1.001968
28	-0.03926086	-0.01998901	-1.009796
29	0.03213501	-0.04470825	-0.998642
30	-0.06642151	0.0869751	-0.9201813
31	-0.005157471	-0.02546692	-1.025589
32	-0.04472351	-0.02630615	-1.018494
33	-0.05421448	-0.02801514	-1.010147
34	-0.0569458	-0.02537537	-1.007202
35	-0.05764771	-0.026474	-1.015518
36	-0.04150391	-0.02359009	-1.007431
37	-0.04277039	-0.02380371	-0.9976654
38	-0.03527832	-0.01963806	-1.010101
39	-0.0475769	-0.02581787	-1.008453
40	-0.04142761	-0.02450562	-1.008926
41	-0.03517151	-0.01808167	-1.011658
42	-0.04386902	-0.01667786	-1.005112
43	-0.05480957	-0.02250671	-1.005096
44	-0.03411865	-0.02308655	-1.014069
45	-0.0276947	-0.01860046	-1.009872
46	-0.02426147	-0.01548767	-1.005768
47	-0.05039978	-0.01585388	-1.007004
48	-0.03381348	-0.01107788	-1.014709
49	-0.03746033	-0.02442932	-1.018433
50	-0.03573608	-0.02006531	-1.013931
51	-0.03575134	-0.01837158	-1.011826
52	-0.03125	-0.01953125	-1.009735
53	-0.02615356	-0.02206421	-1.02005
54	-0.03378296	-0.01531982	-1.011551
55	-0.0342865	-0.01663208	-1.009888
56	-0.0329895	-0.01565552	-1.008438
57	-0.03407288	-0.01376343	-1.009857
58	-0.0305481	-0.0145874	-1.011734
59	-0.03457642	-0.02032471	-1.00351
60	-0.03466797	-0.02050781	-1.009811
61	-0.00604248	-0.02067566	-1.017654
62	-0.02548218	-0.01843262	-1.015335
63	-0.02937317	-0.01698303	-1.012756
